V1,id,member_id,loan_amnt,funded_amnt,funded_amnt_inv,term,int_rate,installment,grade,sub_grade,emp_title,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,pymnt_plan,url,desc,purpose,title,zip_code,addr_state,dti,delinq_2yrs,earliest_cr_line,fico_range_low,fico_range_high,inq_last_6mths,mths_since_last_delinq,mths_since_last_record,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,out_prncp,out_prncp_inv,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,total_rec_late_fee,recoveries,collection_recovery_fee,last_pymnt_d,last_pymnt_amnt,next_pymnt_d,last_credit_pull_d,last_fico_range_high,last_fico_range_low,collections_12_mths_ex_med,mths_since_last_major_derog,policy_code,application_type,annual_inc_joint,dti_joint,verification_status_joint,acc_now_delinq,tot_coll_amt,tot_cur_bal,open_acc_6m,open_act_il,open_il_12m,open_il_24m,mths_since_rcnt_il,total_bal_il,il_util,open_rv_12m,open_rv_24m,max_bal_bc,all_util,total_rev_hi_lim,inq_fi,total_cu_tl,inq_last_12m,acc_open_past_24mths,avg_cur_bal,bc_open_to_buy,bc_util,chargeoff_within_12_mths,delinq_amnt,mo_sin_old_il_acct,mo_sin_old_rev_tl_op,mo_sin_rcnt_rev_tl_op,mo_sin_rcnt_tl,mort_acc,mths_since_recent_bc,mths_since_recent_bc_dlq,mths_since_recent_inq,mths_since_recent_revol_delinq,num_accts_ever_120_pd,num_actv_bc_tl,num_actv_rev_tl,num_bc_sats,num_bc_tl,num_il_tl,num_op_rev_tl,num_rev_accts,num_rev_tl_bal_gt_0,num_sats,num_tl_120dpd_2m,num_tl_30dpd,num_tl_90g_dpd_24m,num_tl_op_past_12m,pct_tl_nvr_dlq,percent_bc_gt_75,pub_rec_bankruptcies,tax_liens,tot_hi_cred_lim,total_bal_ex_mort,total_bc_limit,total_il_high_credit_limit,revol_bal_joint,sec_app_fico_range_low,sec_app_fico_range_high,sec_app_earliest_cr_line,sec_app_inq_last_6mths,sec_app_mort_acc,sec_app_open_acc,sec_app_revol_util,sec_app_open_act_il,sec_app_num_rev_accts,sec_app_chargeoff_within_12_mths,sec_app_collections_12_mths_ex_med,sec_app_mths_since_last_major_derog,hardship_flag,hardship_type,hardship_reason,hardship_status,deferral_term,hardship_amount,hardship_start_date,hardship_end_date,payment_plan_start_date,hardship_length,hardship_dpd,hardship_loan_status,orig_projected_additional_accrued_interest,hardship_payoff_balance_amount,hardship_last_payment_amount,disbursement_method,debt_settlement_flag,debt_settlement_flag_date,settlement_status,settlement_date,settlement_amount,settlement_percentage,settlement_term,bad_flag
59579,53784183,,12100,12100,12075,36 months,16.55,428.7,D,D2,Dental Assistant,9 years,MORTGAGE,42822.14,Not Verified,Jul-2015,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=53784183,"",debt_consolidation,Debt consolidation,284xx,NC,24.61,1,Sep-2005,680,684,0,13,,6,0,3652,73,10,f,0,0,15421.7457788883,15389.88,12100,3321.75,0,0,0,Jul-2018,428.38,"",Mar-2019,699,695,0,,1,Individual,,,"",0,0,154867,,,,,,,,,,,,5000,,,,0,25811,401,49.9,0,0,117,92,30,30,1,30,,8,13,0,1,4,1,1,3,4,6,4,6,0,0,0,0,70,0,0,0,195673,11814,800,37451,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
90349,126599394,,12750,12750,12750,36 months,21.45,483.31,D,D5,Schedule Coordinator,5 years,MORTGAGE,19968,Source Verified,Jan-2018,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=126599394,"",debt_consolidation,Debt consolidation,013xx,MA,53.43,0,Apr-2001,690,694,0,,89,11,1,12726,58.1,14,w,8727.68,8727.68,6751.15,6751.15,4022.32,2728.83,0,0,0,Mar-2019,483.31,Apr-2019,Mar-2019,704,700,0,,1,Joint App,80517,15.36,Source Verified,0,0,31044,0,2,0,1,15,18318,66,2,3,2814,63,21900,0,0,0,4,2822,4162,68.5,0,0,169,201,9,9,1,9,,15,,0,5,8,5,5,3,9,10,8,11,0,0,0,2,100,80,1,0,49635,31044,13200,27735,26447,640,644,Feb-2005,0,1,5,89.4,1,5,0,0,47,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
90819,124453787,,10000,10000,10000,36 months,7.97,313.23,A,A5,Claims Examiner,2 years,RENT,39520,Not Verified,Jan-2018,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=124453787,"",debt_consolidation,Debt consolidation,331xx,FL,30.82,0,Jun-2006,760,764,0,,,10,0,8222,24.2,20,w,6391.41,6391.41,4380.79,4380.79,3608.59,772.2,0,0,0,Mar-2019,313.23,Apr-2019,Mar-2019,789,785,0,,1,Individual,,,"",0,0,47401,1,2,1,4,5,39179,78,2,5,1839,56,34000,0,0,1,9,4740,17415,28.6,0,0,138,138,7,5,0,7,,7,,0,5,8,5,7,6,8,14,8,10,0,0,0,3,100,0,0,0,84088,47401,24400,50088,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
58774,361495,,9000,9000,3525,36 months,10.83,293.93,B,B3,Diamond Nexus Labs,1 year,RENT,38500,Not Verified,Nov-2008,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=361495,"Hi. I currently have a car loan at 8.9% that I have only 9,000 left to pay on. I want to consolidate that and another 2,500 mini loan I have into one with a decent interest rate. I figure I could save myself $121 per month and pay this off in 3 years. Thanks for helping a responsible college grad with a good paying job.  Jonathan",debt_consolidation,Paying off car loan and one mini loan,532xx,WI,17.86,0,Jul-2001,735,739,1,,,5,0,0,0,17,f,0,0,10314.7515101742,4039.94,9000,1314.75,0,0,0,Sep-2010,4052.28,"",Sep-2010,749,745,0,,1,Individual,,,"",0,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
30800,89847953,,1450,1450,1450,36 months,12.79,48.71,C,C1,Material coordinator,8 years,MORTGAGE,35000,Source Verified,Sep-2016,Charged Off,n,https://lendingclub.com/browse/loanDetail.action?loan_id=89847953,"",debt_consolidation,Debt consolidation,444xx,OH,8.64,0,May-2010,685,689,0,,,4,0,9545,96.4,4,w,0,0,439.64,439.64,312.39,127.25,0,0,0,Jun-2017,48.71,"",Feb-2019,499,0,0,,1,Individual,,,"",0,0,45609,0,0,0,0,,0,,0,0,8938,96,9900,0,0,0,0,11402,355,96.4,0,0,,76,27,27,1,27,,,,0,3,3,3,3,0,3,3,3,4,0,0,0,0,100,100,0,0,51322,9545,9900,0,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,1
88587,69967746,,3000,3000,3000,36 months,17.97,108.42,D,D4,Teacher,8 years,MORTGAGE,115000,Source Verified,Jan-2016,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=69967746,"",other,Other,922xx,CA,9.85,0,Aug-1994,685,689,1,,,13,0,16625,75.3,24,w,0,0,3877.482,3877.48,3000,877.48,0,0,0,Jul-2018,834.24,"",Mar-2019,679,675,0,,1,Individual,,,"",0,0,412633,4,2,1,1,4,128113,68,5,8,2175,71,21700,2,1,4,11,31741,381,95.3,0,0,257,249,1,1,2,36,,1,,0,2,9,2,2,11,10,11,9,13,0,0,0,6,100,100,0,0,433686,144738,3700,136692,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
72792,85674181,,30000,30000,30000,60 months,15.59,723.03,C,C5,Sr. National Account Executive,3 years,MORTGAGE,165000,Source Verified,Jul-2016,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=85674181,"",credit_card,Credit card refinancing,410xx,KY,24.04,0,May-2005,670,674,0,,84,19,1,17415,60.3,52,w,16880.11,16880.11,23084.99,23084.99,13119.89,9965.1,0,0,0,Mar-2019,723.03,Apr-2019,Mar-2019,664,660,0,,1,Individual,,,"",0,0,388768,2,8,5,13,2,103796,81,0,5,5936,77,28900,11,10,11,19,20461,3094,74.8,0,0,134,54,19,2,3,22,,2,,0,3,8,4,5,38,10,11,8,19,0,0,0,6,100,50,1,0,431658,121211,12300,128593,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
30322,118671405,,22400,22400,22400,60 months,20,593.47,D,D4,System Admin,5 years,RENT,93000,Source Verified,Sep-2017,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=118671405,"",debt_consolidation,Debt consolidation,111xx,NY,12.93,0,Mar-2006,700,704,0,,,5,0,15274,96.7,10,w,17823.02,17823.02,10657.57,10657.57,4576.98,6080.59,0,0,0,Mar-2019,593.47,Apr-2019,Mar-2019,704,700,0,,1,Individual,,,"",0,0,26368,0,1,0,0,50,11094,42,0,1,5871,62,15800,0,0,0,1,5274,526,96.7,0,0,115,138,14,14,0,14,,,,0,4,4,4,7,2,4,8,4,5,0,0,0,0,100,100,0,0,42400,26368,15800,26600,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
70016,29834786,,14350,14350,14350,36 months,18.99,525.95,E,E1,soccer coach,4 years,RENT,32000,Verified,Oct-2014,Fully Paid,n,https://lendingclub.com/browse/loanDetail.action?loan_id=29834786,"",debt_consolidation,Debt consolidation,382xx,TN,37.85,0,Jul-2007,700,704,0,,,13,0,11733,82,22,w,0,0,18864.1868526024,18864.19,14350,4514.19,0,0,0,Jul-2017,2574.88,"",Mar-2019,694,690,0,,1,Individual,,,"",0,0,24076,,,,,,,,,,,,14300,,,,6,1852,1496,76.3,0,0,74,87,22,11,0,22,,7,,0,5,10,5,7,8,10,14,10,13,0,0,0,2,100,80,0,0,37478,24076,6300,23178,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
72804,83212774,,13000,13000,13000,60 months,10.99,282.59,B,B4,Engineer Project Manager,10+ years,OWN,129000,Not Verified,Jun-2016,Current,n,https://lendingclub.com/browse/loanDetail.action?loan_id=83212774,"",debt_consolidation,Debt consolidation,359xx,AL,18.14,0,Jan-2007,700,704,0,,113,11,1,8450,66,29,w,6732.95,6732.95,9345.11,9345.11,6267.05,3078.06,0,0,0,Mar-2019,282.59,Apr-2019,Mar-2019,714,710,0,,1,Individual,,,"",0,0,291859,1,3,2,6,7,86903,80,2,2,4107,77,12800,2,15,0,9,26533,2207,74.9,0,0,113,106,3,3,2,3,,21,,0,3,4,3,3,22,5,5,4,11,0,0,0,4,100,66.7,1,0,315430,95353,8800,100362,,,,"",,,,,,,,,,N,"","","",,,"","","",,,"",,,,Cash,N,"","","",,,,0
